Schudproef/ kolomproef,M onst ernummer,Uitloging PFOS (μg/l),Concentratie gidsparameter PFOS (μg/kgds)
SP,B60001*,23,88
SP,B60002*,29,85
SP,B60003*,1.6,13
SP,B60007*,57,551
SP,B60008*,46,551
SP,B60101,8.8,490
SP,B60102,3.3,217
SP,B60104,4.1,217
SP,MM50201-205,0.45,10
SP,MM50207-208,0.34,21
SP,MM50301-303,0.22,13
SP,MM50306-307,0.25,15
SP,B70004KP,9.2,67
KP,B60001*,28,88
KP,B60002*,20,85
KP,B60003*,1.2,13
KP,B60007*,49,551
KP,B60008*,44,551
KP,B60101,13,490
KP,B60102,4.6,217
KP,B60104,3.2,217
KP,MM50201-205,0.39,10
KP,MM50207-208,0.42,21
KP,MM50301-303,0.42,13
KP,MM50306-307,0.46,15
KP,B70004KP,5.9,67
